stars,comment
1.0 out of 5 stars,"









  
  
    
  Returned after three days. It had the worst time trying to shred 8 pieces of paper, and eventually broke after about 100 pieces of paper. Purchased a Fellowes instead. First time Amazon Basics has let me down.

  
"
4.0 out of 5 stars,"









  
  
    
  After my last shredder bit the dust, I started the unenviable task of looking for a new one.  I've had 5-6 shredders over the years, and while they have gotten better over time, I always end up paying quite a bit for a higher end personal shredder because I've had 2 cheaper ones early on that didn't last.  Even the better, more expensive ones, always struggled to shred the amount of pages they were rated for and had troubles keeping up (I batch shred, I don't have space to keep a shredder plugged in and ready all the time).I was happy to see that Amazon added some shredders to their Basics line.  The Basics line always seems to have great value and decent products.  I purchased this 8 sheet cross-cut shredder for less than half of what I believe I would have purchased a good 'name brand' model for.So far, it's been really good.  I like the simplicity of the shredder unit sitting on top of the waste can portion where the shredded bits go (I've been used to shredders with pull out shred bins that always made a mess and always got bits of paper crammed everywhere inside).  As with any shredder, I basically half the page rating and never put in more than half (in this case with a rating of 8, I never put in more than 4 layers), and it's been doing very well.

  
"
4.0 out of 5 stars,"









  
  
    
  I like this product as much as one can like a shredder. It works as advertised and was priced competitively. The one part of the machine I do not care too much for is the switch...as I tend to like to leave electric devices in the off position, I need to keep pushing the switch to off or on...a minor inconvenience, but an on/off switch would make this a better product. The switch now has all of the modes of operation in a row.

  
"
3.0 out of 5 stars,"









  
  
    
  I give all products a 3 rating unless I’m exceptionally impressed with them. I purchased this for home n procrastinated to the point of having 3 bins to empty. So far the pros: while I’d never try to put 15 sheets in at once it did multiple thick envelopes with the staples as well. No problem with credit cards. Def very good tiny cross cuts. Also it can run for 45 min before having to cool down. Unlike others I looked at that were similar n only ran for 3-5 mins n need 45 min cool down. Im very pleased. As far as the cons go I’ve noticed most reviews say how these make it a day or two after their warranty n break. I bought an addl 5 yr warranty for like 7$ or something. So if it lasts on it’s own longer than warranty I’ll change score

  
"
5.0 out of 5 stars,"









  
  
    
  Update: After over a year, the shredder is still working great. I use this in my kitchen to shred junk mail or anything with my address. It will zip through a typical 3 to 4 page credit card solicitation in seconds. A few staples are no problem either. If you put more than 6 pages, the motor bogs down but will slowly chew through it- I've done that a few times where it just stopped. There is a reverse switch to unclog it if you get overzealous in your shredding. It is usually faster to just put 3 pages in at a time. It has a credit card slot and has no problem chopping them up. There is a safety switch on the back that only allows the shredder to work while in the supplied can (this prevents chopped fingers if you don't unplug it while cleaning the teeth out; BUT if you want to shred into a bigger container, you aren't able to.)Great deal on a cross-cut general purpose shredder. In this day and age, there is no excuse for not making sure your personal information is secure. No paper/junk mail/etc goes in my trash without going through this shredder first.

  
"
5.0 out of 5 stars,"









  
  
    
  Quiet machine with ample capacity both in number of sheet at a time and duty time.  The bin for chads is more than adequate for large shredding parties.  The machine is heavy (it should be) and very stable.  I would buy this again and again.  BTW it does a goos job of shredding old CD's, ( I had some old tax records on them.) But, who has CD's anymore? If you are wondering, the chads are small enough for security purposes.  Besides once you shred 10 sheets everything is so commingled no one is stealing your info.Update: I’ve shredded at least 10 bankers boxes of old taxes, military records, estate papers, etc.  I ate them all including numerous CD’s with files and a few credit cards.  The chads are small so no one will be able to read anything off of them.  I like the size of the bin, in daily household use you shouldn’t have to empty it but once a month.  I think the product would be great for 5 or 6 person office too.

  
"
1.0 out of 5 stars,"









  
  
    
  Covered in dust, came with no instructions, shredded paper was stuck in the top, and had an odor. Not pleased! Returning it for a full refund and buying a shredder at the store.

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder jammed after two weeks of occasional home use and no longer works. I was careful not to put more than 10 pages at a time, and I stopped whenever the light indicated it was overheated.  The paper became stuck in the blades and it will not work, either reverse or forward.  The bit is constructed such that you cannot take it apart.  As the instructions indicated for a severe jam, I tried to put shredder oil in the blades, waited 30 minutes and tried again.  Nothing.  I will be sending this back and buying a different brand.

  
"
5.0 out of 5 stars,"









  
  
    
  I have purchased several different items under the ""Amazon Basics"" branding,and have been impressed by the quality of the items for what you pay for them. This shredder is no different. Great quality at a very economical price! The shredder is listed as a 12 sheet, but I kept my paper feed to 8 sheets or less as most bank and credit card statements are in that range.The instructions state that you should give the shredder a 30 minute break after about 7 minutes of continuous run, but this little shredder kept going and going!I filled the 4 gallon bin over a dozen times in less than 3 hours (I was WAY behind on my shredding duties!), and this little workhorse did not overheat or jam once.FIVE STARS for this wonderful shredder!PROS:* Great price for a 12 sheet crosscut shredder* Very simple to use - sliding switch for OFF, FORWARD (continuous), REVERSE (continuous), and AUTO (runs as fed paper)* Indicator lights to show if shredder is on (green), full, misaligned, or overheated (red)* Auto shutoff if overheating to protect motor.* Quiet operationCONS:None that I can speak of!RECOMMENDATIONS FOR USERS:* Be kind to your shredder! If you are shredding heavy, stop at half basket intervals (or when you hear the shredder slowing down), unplug the shredder, lift the head off the basket, and clear the shredded paper. It keeps the shredder working at optimal speed.* I highly recommend that you also purchase the 'Amazon' branded 'lubricating / sharpening sheets'.. They are easy to use (just shred one after every 30 minutes of service, and then activate the 'reverse' function for 10 seconds). This will keep you shredder's blades sharp and lubricated and protect your investment.SUMMARY:I highly recommend this shredder. Amazon also offers a 6 or 8 sheet shredder, but I think the 12 sheet model is worth the extra $10-$15, especially if you are shredding stuff like credit card offers without even opening the envelope. I'm not sure that the 6 or 8 sheet models would handle that task as quickly, and when it comes to shredding, I just want to get it done without delays or jams.For anyone considering this shredder, I hope this information has been helpful! Peace.

  
"
3.0 out of 5 stars,"









  
  
    
  I purchased this immediately after returning Amazon's more basic version because I was afraid the documents weren't being destroyed enough. This unit certainly met me expectations for that. See photo for average shredded profile. Unfortunately the 'Auto' featured failed within a few weeks. And finally 3 years later the until will no longer operate. Light use, usually only 1-3 sheets at a time. Maybe once a month. My other complaint would be that the credit card slot is completely the wrong direction as it allowed the entire card number to but output when shredded given the direction and shredded profile. Works great for most documents and credit/debit cards if turned 90 degrees to separate all numbers.

  
"
3.0 out of 5 stars,"









  
  
    
  Will only give it 3 stars, since it arrived broken. The reason for breakage was that the little plastic  tab attached to the door and which activates the shredder had broken off. The shredder will not work without it and gives a message that the door is not closed, even when it is. For such an important function, they could have made this small plastic piece sturdier than it is.. Amazon replaced the shredder and the actual functioning of the machine is fine, but I am mindful of this thin plastic tab when I open and close the door. I also want to note that the shredder is heavy.

  
"
5.0 out of 5 stars,"









  
  
    
  I purchased this shredder despite some bad reviews but the unit has proven to work quite well.  To be realistic, one cannot expect a shredder priced under $100 to be industry grade and be able to run non-stop for over 30 minutes without over heating.  For a normal house hold this works fine.  Obviously the user should not load more than 8 normal thickness of paper at one time (or less if the paper is extra thick).  I shredded a big pile of old paperwork, with intermittent pauses to look at the statements, and the unit did not over heat.  Slightly off center feeds were not a problem.. And the cross cut provides higher security than the strip cuts, although not quite as good as the micro cut.  But again, good enough for a normal household.Will update if performance changes over time.

  
"
1.0 out of 5 stars,"









  
  
    
  I have owned the product for less than 18 months.  I rarely use it. This morning I put 4 pieces of paper into it and before it was done shredding it, it stopped working and is no dead.  I would not recommend this product

  
"
5.0 out of 5 stars,"









  
  
    
  Product was exactly as discribed. I was a little worried after reading reviews of it over heating or not working at all. I thought I'd try it for the price, and my worries were immediately put to rest. I cleaned out my file cabinet. I apparently tossed an envelope that had a dime in it. It made a horrendous noise, and I immediately turned it off. I put it in reverse and out popped a dime. The dime was a little ate up, but the shredder still works perfectly. It went on to shred these two bags, and another almost full bag still in the canister. It also shredded several credit cards and IDs like it was nothing. I did almost 3 full canisters (periodically pushing down the shredded material) in one sitting. It did get a little warm, which is to be expected. It was by no means hot or anything I was remotely worried about. I also turn it off when it's not in use. There is a customer service number on the machine. Will update if I encounter any issues, though I doubt I will.

  
"
3.0 out of 5 stars,"









  
  
    
  edit:  I ended up not returning cause it was so well price.  But it took me over an hour to deal with the jam and it def cannot take as many sheets at once as advertised.  As long as you just use a few sheets at a time it will be fine...Jammed up the first time i used it.  Tried that oil and it didn't work.  No other way to free up.  Sending back.  Got jammed above the cutting blades and there's no other way to free up.  I guess you can take the whole thing apart.  No thanks.  Not even close to the maximum capacity.  Returning and looking for a machine that can easily get unjammed...  Annoying.  Amazon basics not ready for prime time.....

  
"
4.0 out of 5 stars,"









  
  
    
  GOOD:  -- Notably quiet.  -- Paper shreds to a small size that is unlikely to be reassembled, especially after you mix the bag.  -- Opening seems too small for adult fingers (a plus for safety).  -- A shredder bag can easily fit over the canister.  -- Relatively fast.  -- Easy to operate.  --Doesn't seem to create and scatter visible dust like some micro-cut shredders do.  -- Seems to be well-made and should be durable.NOT-SO-GOOD:  -- Shredded paper seems to stick to the cogs at the exit, which makes it rather messy when emptying the bag unless you brush the paper hanging down from the cogs.  -- Gummed envelope material seems to stick to the cogs even more than regular paper.  This means shredding those dad-gum gummed address labels is probably not a good idea (we use scissors on those).  --The shredded paper is not compacted in the bin, so you'll have to push the paper down or empty the bin more often.  -- I know you're not supposed to do this, but access for repairing the machine is limited (we doubled the life of our previous shredder by disassembling and cleaning the rotors). -- The bin doesn't easily shut after being opened for emptying, and apparently Amazon does not sell replacement bins, so if yours jams while shutting it for goodness sake don't force it.SUMMARY:  It's a good value -- quiet, fairly inexpensive, small size of shredded paper without creating visible dust, capability for several sheets at once.

  
"
1.0 out of 5 stars,"









  
  
    
  I was planning on using this for shredding financial records, but quickly found out that if you feed standard, horizontal ""landscape"" reports into the shredder in a vertical ""portrait"" way, the pieces are so long that you can clearly read complete numbers, account descriptions and codes, names attached to specific accounts, etc.  Can't count on everyone using it the other way.  Just not acceptable for a ""cross-cut"" shredder.  Am now going to have to go through what was ""shredded"" and cut them up individually.

  
"
5.0 out of 5 stars,"









  
  
    
  Pretty thrilled with this shredder right now !  I was suspicious at first and considered sending it back because it had shreds in the bottom of the drawer already like someone had used it and sent it back. Instead, I opted to try it first.  I had a completely full 15 gallon garbage bag of financial documents  in the corner of my bedroom that I had been unable to shred with my old super slow shredder that would shut down after 2-3 minutes of use. So, I commenced shredding, and shred, and shred and shred, nonstop, until the entire bag was finished ! This shredder is definitely KING of shredders, IMO, for the price ! VERY happy !

  
"
3.0 out of 5 stars,"









  
  
    
  The strips into which the paper shreds are quite large -- large enough that you could actually read a whole twelve-point font on each shred.  It's adequate security for those of us who don't expect the FBI to analyze our trash content, but compared to the last cross-cut shredder I had at a similar tier (a Royal CX80 Cross Cut Shredder), this is disappointing.It really is a LIGHT DUTY machine.  It jams easily, and will stop without the overheat indicator lighting.  It might be unfair to remove a star because the machine, which pretty much advertises itself as light duty, proves that it actually is.  But I've had two other ostensibly light-duty shredders which were robust than this one.It otherwise is a decent shredder.  The design, where the mechanical unit just sits on top of the bucket, is good:  You can line the bucket with a plastic bag, and if the bucket fills and starts pushing the shredder up, you can still empty the unit without getting shredded paper all over the place, as might happen with a unit that uses a drawer or tilt-bin.  The unit is quiet.  The motor runs a full second or so after it finishes with the last page, so if you feed more paper in, the motor cycles less than if it were to shut instantly.  This also allows the paper to get all the way through the shredder even if it were fed at an angle.  I've shred some solid cardstock without problem, and it seems to be true to its eight-sheet capacity of normal weight paper, for the most part, with some qualification.  I do shred in volume -- more than is appropriate for these small machines -- so I might demand more than it's designed for.

  
"
1.0 out of 5 stars,"









  
  
    
  SAYS it's made for home office,  I guess because if it was a commercial office it would cost to much labor to operate it.  SORRY BUT apparently Amazon basics means CHEAP JUNK.  The shredder  has a deep intake slot probably for safety. If it struggles, it reverses and jams the intake slot WHICH IS almost impossible to clear.  It says 12  sheets, I say caution at 10.  Not sure this one will survive the home office.  OK, my fault for ordering on line from Amazon.  This is the first thing I purchased that was branded Amazon, yes made in China... GRRRR  their return policy sucks or I would trade it for better.  If I return it for exchange I get the same junk again.  The freight for return for credit would eat up the price, its heavy.  DO NOT BUY.

  
"
1.0 out of 5 stars,"









  
  
    
  I order a lot from Amazon for convenience but it's a gamble.  If you receive something and it doesn't work, going to UPS, boxing and returning is a pain in the ass.  This item took in one envelope, maybe 4 pages in thickness and powered down and would start back up.

  
"
5.0 out of 5 stars,"









  
  
    
  I seem to get PILES of unwanted paper with my personal information on it, when Amazon first offered this well built cross shredder I jumped at the chance to get one, I couldn't be happier with my purchase , the cutting ""gears"" are not cast, but from plate steel and the motor is very stout, I want to say Thanks to Amazon for such a wonderful machine that works very well. If you need to keep personal information away from anyone who may be going through your trash, this is well built and solid , it also does credit cards very well also

  
"
1.0 out of 5 stars,"









  
  
    
  Very disappointed. Received shredder and plugged it in.Completely defective. Never turned on.Called service department said it was defective. Has to be returned for service.Went to staples and bought a different brand.

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder has only lasted 5 months, my last one lasted 10 years. Would not give this a good rating at all.

  
"
2.0 out of 5 stars,"









  
  
    
  There isn’t much that can go wrong with these things unless you abuse them by stuffing paper or multiple charge cards into it. We used it conservatively, only shredding envelopes or bill statements, one at the time. We emptied it as needed. One day it simply stopped working. We tried to unclog the roller device inside but it could not be repaired for any less than it is worth. Three months later, we have to replace it. If you’re looking at this model, I strongly recommend you look further unless you don’t mind it’s ridiculously short shelf life.

  
"
5.0 out of 5 stars,"









  
  
    
  I just got it earlier this week, but I had gathered bags and bags of old paperwork that needs to be shredded and there is no public drop-off point for me in these times.  I went for a 24 page shredder as a compromise between quality and price.  This unit more than meets my needs and although in one sitting I will not be able to shred everything, this will work just fine if you have lots to shred.On the page limit, I only got the overload once and I was amazed because the shredder attempted to auto-correct itself by throwing it in reverse and then forward into the jam was cleared.  And it did clear the jam itself without any manual intervention.  I can't say that I counted the number of pages I fed it at a time, but I was feeding it fistfuls of paper and like I say just one jam.Also, I shredded receipts, prescription sheets and all kinds of other irregular paper without problems.  I inserted either vertically or horizontally and it worked either way.The bin size is just fine for me.  I felt I got a good amount of shredding in before I had to empty it.The one wish-list item that I would want which does not affect the rating is that there is no oil-sheet to lubricate the shredder and I hear these can be expensive.  So make sure you find other ways, but I am not there yet.

  
"
1.0 out of 5 stars,"









  
  
    
  Got this a while ago for my husbands office and after only 5 uses, it has died. He only ever puts one paper at a time in it so it wasn't overworked. We are only in our 20's so it's not like we have a lot of stuff to shred besides important bills or the occasional paper with our personal info on them. I wish I would have just paid a little more for a better sredder because it's too late to return this. It's going in the garbage now. They don't build things like they used to smh

  
"
5.0 out of 5 stars,"









  
  
    
  This shredder was purchased to replace a Fellowes strip shredder that lasted for fifteen years.  I chose this cross cut Amazon Basics over the Amazon Basics micro cut.  Both Shredders were the same price.  This cross cut model may make less of a mess when emptying the collection basket.I did shred fifteen 20 pound pages as the shredder is rated without a problem, but I will go no higher than nine or ten pages just to play it safe in hopes the shredder will have a long life. I don’t see a security issue with this cross shredder for my needs.  I don’t picture an international spy ring digging thru my garbage.  See attached photo of a shred example.  I examined the shredded paper closely and could not find any readable information.  If you are concerned are about account numbers, SSNs, etc. just feed the paper where the printed text is parallel/horizontal to the feed slot whether it’s a micro or cross cut.  This shredder did a great job shredding a DVD with personal information on it.  The DVD is definitely completely destroyed.Do oil the cutting blades as recommended.  All shredders need maintenance.  Overall I would recommend this shredder.PROS• Secure shred• Safety features• Auto Feed• Continuous reverse and forward if needed• The basket has rollers on the rear that fit into tracks keeping the basket straight and lined up as required• Large window to check if the basket is getting full.  See attached photo• Shreds a DVD/CD• The noise level is no more or less that any other consumer/small office shredderCONS• The power cord is five feet in length.  A standard six footer would be nice.• The printed description of the status lights (power on, errors) and switch (ON/OFF, FWD, REC, AUTO) is very small for the average senior or person with similar vision capabilities

  
"
1.0 out of 5 stars,"









  
  
    
  It stopped working out of the blue. Never used more than one page at a time. Took really good care of it. Tried different outlets, it's stopped working. Doesn't even reverse. Poor quality :(

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this shredder last week after looking at the 4.7 star rating and the great price of $99.99. So far has performed as rated. Glad I didn't spend the $189 for the comparable Fellowes shredder. Good job Amazon. I give it 5 stars.

  
"
2.0 out of 5 stars,"









  
  
    
  I bought this as a replacement for my home shredder but it was no better than the one it replaced.  If you have serious shredding to do, then this is not a good model.  If you are using it every day, perhaps, it would be ok.  But if you're like me, and only shred from time to time, it simply is not powerful enough to handle mass shredding days.

  
"
4.0 out of 5 stars,"









  
  
    
  I want to preface this review by saying that I purchased the AmazonBasics 12-Sheet High Security Micro-Cut Paper/CD/Credit Card Shredder with Pullout Basket, and that thing is absolutely wonderful. I am spoiled with that thing by comparison, but I needed a small shredder for a second location where I don't need to shred a bunch of documents. That led to this purchase.This is a smaller shredder with a smaller capacity waste bucket that the shredder mounts on top of. you can use a plastic bag inside to catch all the waste. It is a standard crosscut that cuts thin short strips, but not as fine as the micro-cut. It was able to cut 6 pages of 20lb paper without any problem, but it slows a little to do so- no big deal. It seems like it has good power and might be able to do more in a single pass, but I don't want to chance this- that is what the bigger shredder is for.My impression is that this small shredder will fit the intended purpose for light duty use- a couple of papers here and there. It is priced at a steal of a deal at $30, especially if you have amazon prime and the thing ships to you in 2 days or less- shipping along on a similar package would cost about $12 bucks by UPS Ground...not Second Day Air. If you have a bunch of shredding to do, consider the bigger shredder- AmazonBasics 12-Sheet High Security Micro-Cut Paper/CD/Credit Card Shredder with Pullout Basket. That thing is like a paper grinder- works well and makes a neater generated paper waste that pours out of the can.

  
"
1.0 out of 5 stars,"









  
  
    
  Have had this for seven months. Jams from time to time and can be unjammed by running back and forth in reverse and forward. However, for some reason I thought it was an 8 page shredder and never loaded more than 6 sheets at a time. After home use for seven months the plastic handle came off. It is held in place by 4 small screws that are screwed in holes in the plastic. It is what is used to take off the cover which holds all the weight of the motor and blades. If you have to take the cover apart to expose the innards there are about 6 screws to try to find including one that is hidden by a warning tag and 3 or 4 that are concealed in recessed holes. Worst of all is that Amazon Basics does not stock replacement for the plastic handle. Buy a different brand since repair parts are lacking from Amazon Basics. For the sake of some inappropriate cheap plastic used where a more heavy duty handle and better attachment method, Amazon Basics destroyed what could have been a fair product.

  
"
4.0 out of 5 stars,"









  
  
    
  Last it lasted 6 years! And this one cost $4 less!A few pointers...1. Don't try to shove envelopes full of paper into this thing.- It's not a high-end device, but it will do the job.-Go ahead and open each envelope an feed the pages one or two at a time (seriously, you can take a few seconds to do this). :-) it will keep the motor alive slot longer.2. The weight of the motor and cutting blades makes it a little top heavy, so find a stable place to put it (like between a chair and a cabinet) to keep it from spilling over.3. Feed your shredder an 'oil sandwich' once a month: take two pieces of paper, zig-zag a pattern of some light cooking oil (not motor or olive oil, please) on one of the pages, then slap the other page on top of it; like pieces of bread around a jelly sandwich... then feed it to your shredder.- Putting the oil between sheets of paper contains the oil and limits the amount smeared on the mouth of the shredder.- This will lube the blades to make future shreds much easier.- Read the manual that accompanies the shredder for more info on oiling requirements.4. Recycle your shredded paper.  I recycle my old clear plastic dry cleaning bags to gather the shreds and put out with all the plastic stuff. Our local recycling plant staff asks us to put shredded paper in clear bags so they can see what is inside before they open it up.Happy shredding!!!

  
"
3.0 out of 5 stars,"









  
  
    
  I give this shredder three and a half stars.  I think it's solid overall and should last a long time.  The build quality seems good, and I don't notice any weakness in this area.  The noise level is ""ok.""  It's definitely quieter than the 10-year old Fellowes shredder it replaced, but I don't find the new sound level to be anything groundbreaking.  I haven't had the troubles of closing the bin like others have.  I keep a trash bag in it, and every once in awhile it won't close all the way.  I just give it a tap or adjust the bag, and it's fine.  The one annoyance I have that bothers me is the size or angle of the opening for the paper to shred.  I find the opening to be too narrow for my liking, and if I have any more than approximately five papers, I find it difficult to insert them.  The opening itself is at a slight angle, as well, so I have to try to angle the papers in, or I have to make sure each paper in the stack is straightened really well.  Even a single receipt can be slightly frustrating at times.  With my Fellowes, the opening was easily accessible, straight up and down at the top.  I found that design to be easier and more user friendly.  The other half star I took off was because there are deals on other shredders that are micro-cut where this one isn't.  This does shred small, so it's not a complete deal breaker.  The bottom line I ask myself is:  Would I buy it again?  And in this case, no, I don't think I would.  It does work well, and it will get the job done, so if it's at a great price compared to others and you don't use it that much, sure go for it.  But the next time I personally shop for one, I will look for one that is easier to feed, that's micro cut, and one that is even quieter if possible.  Best of luck.

  
"
1.0 out of 5 stars,"









  
  
    
  Zero stars if possible. Choked on the simplest of tasks and died.

  
"
