stars,comment
4.0 out of 5 stars,"









  
  
    
   PROS: I want to cover first the high-quality and well-built aspects of this paper shredder. I’ve seen other reviews I personally think the garbage can (bottom portion/ container) is well-built. It had zero problem shipping to me in one piece. I’ve tested and this can easily shred 15 to 16 pieces of normal copy paper and probably 12 of the thicker resume paper. Personally I use this to shred cardboard. (with all the boxes that I get from Amazon and/or for business it’s a great for shredding cardboard) and compost it afterwards. If you see in the video and photo attached the shredder has no problem going through very thick cardboard whatsoever.  Think “A hot knife through butter”. I also want to say that the machine is extremely quiet in comparison to other shredders a have owned or currently own. I’ve seen on other reviews people said it was loud. It obviously isn’t going to be silent. Even in comparison to the Amazon basics 8 sheet shredder, it’s about half as quiet as that. That link is below if you don’t need something this heavy-duty as the 12 sheet.Link to the AmazonBasics 8-Sheet Strip-Cut Paper, CD and Credit Card Home Office Shredder https://www.amazon.com/dp/B01DN9NX0I/ref=cm_sw_r_cp_api_i_BlQDDbTFVANXGCONS: My two issues with this shredder. One the bottom canister or garbage can cannot be replaced because of the safety mechanism that is built into the shredder. I realize it’s put there for safety but it’s kind of a pain if it ever cracks or breaks. Two is the opening only measures about 8.75-9 inches. If a larger amount of paper or cardboard is loaded in and isn't square to the opening it can jam. That’s easily resolved with the reverse button on the top of the shredder. I would link to see this same shredder with a 12 inch opening.Bottoms line is I would buy again or recommend to a friend.If this review was helpful please let me know by clicking the “Helpful” button below the review.

  
"
1.0 out of 5 stars,"









  
  
    
  Covered in dust, came with no instructions, shredded paper was stuck in the top, and had an odor. Not pleased! Returning it for a full refund and buying a shredder at the store.

  
"
1.0 out of 5 stars,"









  
  
    
  I have gone through two of these now. The first one seemed decent and I blame myself for overworking it one day.  The second one, however, I barely used and was extremely careful in how many documents I put in at once.  This one died after a few months with no warning. It is plugged into a surge protector with other items that still work so it was not a power fluctuation. It was just dead one day with no power or sign of life at all. I am annoyed because it was clearly a defective unit but I am outside any return window.

  
"
5.0 out of 5 stars,"









  
  
    
  I am not someone who uses a paper shredder every day, but when I do, I really use it hard.  This shredder was a surprisingly good value and quieter than I expected.  That said, my last one overheated and needed to be replaced.  This shredder has a 3 minute constant run time and a nice overheat indicator light that should help prevent me from making the same mistake.Another thing I want to comment on:  I am always paranoid about buying anything electrical online.  I fear it won't work properly and returning it will be a hassle.  If your like me, you'll be happy to know Amazon leaves a little note inside the package that they test the paper shredder before shipping it to you!

  
"
5.0 out of 5 stars,"









  
  
    
   This shredder works as advertised. In the attached video you can see it shredding a stack of 15 pages of paper, a CD, and a credit card. All seemed to work without incident. As you can see in the video it creates small cross shredded strips that will make reassembly of the original document more difficult. Stacks of documents will compress into thick strips that require some effort to separate.I would like to see paper bags or something to go in the wastebin as I would like to send the shredded material out to recycling without the having to dump it into another bag later.Currently the device has a bit of an oily / burnt smell but I have a feeling that it's lubricant from the factory. I expect that to dissipate and will report back if it does not. I will also report back on any long term issues I have with it.

  
"
5.0 out of 5 stars,"









  
  
    
  Over the years I've used a full-size shredder, a micro-shredder, and now this guy. So far, this is the best one.For starters, if you want a continuous-usage shredder you're not going to find it here. If you need to shred for hours and hours spent the cash for a commercial-strength full-size shredder. If, on the other hand, you're occasionally shredding a contract or credit card statement, this will do the trick nicely.I put this shredder through it's paces immediately upon receiving it, because I bought it to shred a large stack of papers I needed to shred to free up some space (tax returns, credit card statements, etc). The device is POWERFUL for it's size. It's blades are small but mighty. Seriously, you can hear this thing rev up like a little jet engine ready to gobble paper up. You CAN overload it with continuous 6-sheet shreds (it's a bad idea to shred a lot of multi-paper jobs at the max thickness a shredder is rated for), but if you let it breath a little between jobs and only feed it a few pages at a time, it handles it nicely.I expected the device to jam after shredding this huge stack of papers and it did, but I was able to clear it without too much trouble (I wish the opening was a little wider so I could easily pull out stuck paper with needle-nose pliers, but that's the only flaw in the device I found). A few minutes of reverse, forward, reverse, and a few yanks with the pliers and the one jam cleared without further issue.The real nice thing is that this device seems to handle paperclips just fine, and has a nice size waste bin for a product in this low price range.Well, there you have it. I was expected a piece of junk in this price range for very small jobs, and was overjoyed to find this device a step up. It has plenty of power, and shreds beautifully. Just don't try to run it for an hour shredding construction paper, folders, and 6 pages at once. Feed it a few pages at a time or one thick piece at a time and let it cool down every few minutes, and it should last you a good long time. Or at least longer than my last mini-shredder did. That thing is toast.

  
"
4.0 out of 5 stars,"









  
  
    
  ​I purchased this shredder 3 months ago. Love it!I was looking for something basic for my home office.Pros: - Instead of cutting vertically (""strip-cutting""), this shredder chops the sheets both horizontally and vertically (""cross-cut""). Instead of having some long spaghettis of papers, you get some little pieces of spaghettis, much harder for somebody to infer the original content. - Automatic mode: the shredder starts automatically when you insert a sheet (you can disable this behavior). It will stop on its own if you don't insert anything else. - The security trigger locks the shredder as soon you remove the head from the bin. - It doesn't take much room. - Transparent window to see through to know when to empty the bin. - Not noisy.Cons: Nothing for now.Notes:Avoid plastic envelopes/papers. I tried to shred an envelope made of plastic. Pieces of plastic got stuck inside of the blades. It took me 20 minutes to get it clean. That's when the ""reverse"" feature comes handy.I would recommend this item if you need something basic for daily use. If you want something for multiple people, I would go for something bigger.​

  
"
1.0 out of 5 stars,"









  
  
    
  Got this a while ago for my husbands office and after only 5 uses, it has died. He only ever puts one paper at a time in it so it wasn't overworked. We are only in our 20's so it's not like we have a lot of stuff to shred besides important bills or the occasional paper with our personal info on them. I wish I would have just paid a little more for a better sredder because it's too late to return this. It's going in the garbage now. They don't build things like they used to smh

  
"
5.0 out of 5 stars,"









  
  
    
  This shredder was purchased to replace a Fellowes strip shredder that lasted for fifteen years.  I chose this cross cut Amazon Basics over the Amazon Basics micro cut.  Both Shredders were the same price.  This cross cut model may make less of a mess when emptying the collection basket.I did shred fifteen 20 pound pages as the shredder is rated without a problem, but I will go no higher than nine or ten pages just to play it safe in hopes the shredder will have a long life. I don’t see a security issue with this cross shredder for my needs.  I don’t picture an international spy ring digging thru my garbage.  See attached photo of a shred example.  I examined the shredded paper closely and could not find any readable information.  If you are concerned are about account numbers, SSNs, etc. just feed the paper where the printed text is parallel/horizontal to the feed slot whether it’s a micro or cross cut.  This shredder did a great job shredding a DVD with personal information on it.  The DVD is definitely completely destroyed.Do oil the cutting blades as recommended.  All shredders need maintenance.  Overall I would recommend this shredder.PROS• Secure shred• Safety features• Auto Feed• Continuous reverse and forward if needed• The basket has rollers on the rear that fit into tracks keeping the basket straight and lined up as required• Large window to check if the basket is getting full.  See attached photo• Shreds a DVD/CD• The noise level is no more or less that any other consumer/small office shredderCONS• The power cord is five feet in length.  A standard six footer would be nice.• The printed description of the status lights (power on, errors) and switch (ON/OFF, FWD, REC, AUTO) is very small for the average senior or person with similar vision capabilities

  
"
5.0 out of 5 stars,"









  
  
    
  Quiet machine with ample capacity both in number of sheet at a time and duty time.  The bin for chads is more than adequate for large shredding parties.  The machine is heavy (it should be) and very stable.  I would buy this again and again.  BTW it does a goos job of shredding old CD's, ( I had some old tax records on them.) But, who has CD's anymore? If you are wondering, the chads are small enough for security purposes.  Besides once you shred 10 sheets everything is so commingled no one is stealing your info.Update: I’ve shredded at least 10 bankers boxes of old taxes, military records, estate papers, etc.  I ate them all including numerous CD’s with files and a few credit cards.  The chads are small so no one will be able to read anything off of them.  I like the size of the bin, in daily household use you shouldn’t have to empty it but once a month.  I think the product would be great for 5 or 6 person office too.

  
"
4.0 out of 5 stars,"









  
  
    
  Last it lasted 6 years! And this one cost $4 less!A few pointers...1. Don't try to shove envelopes full of paper into this thing.- It's not a high-end device, but it will do the job.-Go ahead and open each envelope an feed the pages one or two at a time (seriously, you can take a few seconds to do this). :-) it will keep the motor alive slot longer.2. The weight of the motor and cutting blades makes it a little top heavy, so find a stable place to put it (like between a chair and a cabinet) to keep it from spilling over.3. Feed your shredder an 'oil sandwich' once a month: take two pieces of paper, zig-zag a pattern of some light cooking oil (not motor or olive oil, please) on one of the pages, then slap the other page on top of it; like pieces of bread around a jelly sandwich... then feed it to your shredder.- Putting the oil between sheets of paper contains the oil and limits the amount smeared on the mouth of the shredder.- This will lube the blades to make future shreds much easier.- Read the manual that accompanies the shredder for more info on oiling requirements.4. Recycle your shredded paper.  I recycle my old clear plastic dry cleaning bags to gather the shreds and put out with all the plastic stuff. Our local recycling plant staff asks us to put shredded paper in clear bags so they can see what is inside before they open it up.Happy shredding!!!

  
"
5.0 out of 5 stars,"









  
  
    
  I just got it earlier this week, but I had gathered bags and bags of old paperwork that needs to be shredded and there is no public drop-off point for me in these times.  I went for a 24 page shredder as a compromise between quality and price.  This unit more than meets my needs and although in one sitting I will not be able to shred everything, this will work just fine if you have lots to shred.On the page limit, I only got the overload once and I was amazed because the shredder attempted to auto-correct itself by throwing it in reverse and then forward into the jam was cleared.  And it did clear the jam itself without any manual intervention.  I can't say that I counted the number of pages I fed it at a time, but I was feeding it fistfuls of paper and like I say just one jam.Also, I shredded receipts, prescription sheets and all kinds of other irregular paper without problems.  I inserted either vertically or horizontally and it worked either way.The bin size is just fine for me.  I felt I got a good amount of shredding in before I had to empty it.The one wish-list item that I would want which does not affect the rating is that there is no oil-sheet to lubricate the shredder and I hear these can be expensive.  So make sure you find other ways, but I am not there yet.

  
"
1.0 out of 5 stars,"









  
  
    
  basically, when i put the ""on/off"" switch on ""auto"", it runs continuously, whether I am feeding paper into it's mouth or not. It did work fine for the first few months after i got it. After the switch broke ( I am assuming that's what happened, but I am not an electrical engineer), I just continued to use it and turn it off and on manually. I would like it replaced and if you want the broken one back, please send me a label...though, I don't have a box big enough for it. Please advice.  Thank you.

  
"
5.0 out of 5 stars,"









  
  
    
  I shred junk mail like it's a part time job. Seriously, someone must've been trolling my family and I and signed us up for every freakin' mailer available to my area and a few randos for good measure.Still living pre-00's and have wall to wall carpeting everywhere? No problem! Little wheels work on my slightly shaggy carpet no problem. YAY!The unit is quite tall but fits comfortably under my desk and it's not that high, maybe a tad higher than your average banquet table. Bonus: You can sit your lazy bum in your computer chair and not have to bend so far to feed the shredder. I say that's a win any day.Best quality: It's QUIET. Didn't realize how loud and rumbly my 3-ish year-old Walmart special was until I plugged in this guy. Super happy about that! No longer scaring my poor hamster with the shredder from hell.All in all so far it's a great product!

  
"
1.0 out of 5 stars,"









  
  
    
  Returned after three days. It had the worst time trying to shred 8 pieces of paper, and eventually broke after about 100 pieces of paper. Purchased a Fellowes instead. First time Amazon Basics has let me down.

  
"
5.0 out of 5 stars,"









  
  
    
  Update: After over a year, the shredder is still working great. I use this in my kitchen to shred junk mail or anything with my address. It will zip through a typical 3 to 4 page credit card solicitation in seconds. A few staples are no problem either. If you put more than 6 pages, the motor bogs down but will slowly chew through it- I've done that a few times where it just stopped. There is a reverse switch to unclog it if you get overzealous in your shredding. It is usually faster to just put 3 pages in at a time. It has a credit card slot and has no problem chopping them up. There is a safety switch on the back that only allows the shredder to work while in the supplied can (this prevents chopped fingers if you don't unplug it while cleaning the teeth out; BUT if you want to shred into a bigger container, you aren't able to.)Great deal on a cross-cut general purpose shredder. In this day and age, there is no excuse for not making sure your personal information is secure. No paper/junk mail/etc goes in my trash without going through this shredder first.

  
"
2.0 out of 5 stars,"









  
  
    
  I couldn’t wait to receive my new shredder, but was disappointed when I unboxed it. The two boxes it arrived in (printer box inside Amazon box) were completely undamaged, no marks or dents, but as soon as I pulled out the drawer I noticed it was broken. The top was broken and hanging down, which made it a little difficult to pull out the drawer, and there were actually shredded pieces of paper inside. This tells me that they tried to sell me a used product. I’m very unhappy. The part that really stinks is that if I order another one I will have to wait 1 to 2 months for it to arrive. Not cool, especially since I only had to wait about a week for this one. I’m thinking I may go with another brand just to bypass the long shipping time. If you’re going to try to pass used products as new, at least have someone qualified enough to check them to make sure it’s at least empty of garbage. I gave it 2 stars only because it seemed okay otherwise. Nice and sturdy, wheels on bottom to easily move it around, and easy to pick up without having the top come off like other shredders.

  
"
1.0 out of 5 stars,"









  
  
    
  Had a Fellowes shredder that only took two pages per insertion but it lasted 20+ years in my home office. Finally died. Decided on this one because my needs are now less, it had decent features and the price was right. Sorry about the choice.First day in the house I tried a 9 page insertion even though it's supposedly capable of 12. I'm always skeptical of that claim. It took 9 but groaned. So I dropped to 6. Took 6 one time. The next time it jammed completely. Would not reverse to regurgitate the jammed paper and would not continue the shred. Total stop. I then spent 30 minutes pulling jammed paper bits out with a long-nosed tweezer from the top and bottom. Turned it off for 30 minutes. Turned it on. Nothing. That's it for me. If an item conks out in the first minutes of use I'm not going to keep trying. Sent it back. Will probably buy another Fellowes for more money.

  
"
1.0 out of 5 stars,"









  
  
    
  It is a paper shredder.... not much more to say than that except do not go even one page over the recommended limit. This will clog up and shut down. I shredded probably 5 batches of 5 sheets each and it overheated. I shredded one page over the limit, and it clogged up and shut down. Update: After using this for a second time, it stopped working. I notice Amazon's products and recommended are cheap junk with bot -created reviews. Is it really possible that over 3,000 people bought this specific shredder and gave it a good review? Junk.

  
"
1.0 out of 5 stars,"









  
  
    
  Horrid. Horrid. Horrid. Do not waste your money or time. You will only have to  return it. The credit card slot stopped working. The shredder only works on one side. You can’t get an entire sheet of paper through.Stephanie and Danny from Customer Service’s Tech Support for the shredder are terrible to deal with. They interrupt and it took all of my strength not to sound like a sailor. They made me VERY stressed.The product is horrid and why you would want your customers to have a bad experience is beyond me.

  
"
5.0 out of 5 stars,"









  
  
    
  I""m so glad I got this paper shredder.  I'd had a shredder some years ago that was such a dud that I had a hard time imagining one working well for such a reasonable price.  It's swift, efficient, and effective, and unlike the machines I shopped in Staples, it feels very solid.  Now I can dispatch in seconds those papers that need to be destroyed.

  
"
5.0 out of 5 stars,"









  
  
    
  AmazonBasics are generally good quality items....this is no exception.  The 8-sheet shredder is powerful and well made and perfectly complements a small or home office environment. Controls are simple and easy to use. I replaced my $200 Fellowes shredder with the $35 AmazonBasics shredder and I wasn't disappointed. The collection bin is half the size of my old shredder but I knew it's capacity before I bought it.  This just means that I will have to empty the shredder more than I did before. This is one reason why it probably wouldn't work well in a large office environment. I haven't tried more than 8 sheets of standard copy paper but why risk a jam.  I generally limit my shreds to 4 / 5 pieces of paper at a time and this shredder eats them up.

  
"
1.0 out of 5 stars,"









  
  
    
  Very disappointed. Received shredder and plugged it in.Completely defective. Never turned on.Called service department said it was defective. Has to be returned for service.Went to staples and bought a different brand.

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder has only lasted 5 months, my last one lasted 10 years. Would not give this a good rating at all.

  
"
2.0 out of 5 stars,"









  
  
    
  There isn’t much that can go wrong with these things unless you abuse them by stuffing paper or multiple charge cards into it. We used it conservatively, only shredding envelopes or bill statements, one at the time. We emptied it as needed. One day it simply stopped working. We tried to unclog the roller device inside but it could not be repaired for any less than it is worth. Three months later, we have to replace it. If you’re looking at this model, I strongly recommend you look further unless you don’t mind it’s ridiculously short shelf life.

  
"
3.0 out of 5 stars,"









  
  
    
  I give this shredder three and a half stars.  I think it's solid overall and should last a long time.  The build quality seems good, and I don't notice any weakness in this area.  The noise level is ""ok.""  It's definitely quieter than the 10-year old Fellowes shredder it replaced, but I don't find the new sound level to be anything groundbreaking.  I haven't had the troubles of closing the bin like others have.  I keep a trash bag in it, and every once in awhile it won't close all the way.  I just give it a tap or adjust the bag, and it's fine.  The one annoyance I have that bothers me is the size or angle of the opening for the paper to shred.  I find the opening to be too narrow for my liking, and if I have any more than approximately five papers, I find it difficult to insert them.  The opening itself is at a slight angle, as well, so I have to try to angle the papers in, or I have to make sure each paper in the stack is straightened really well.  Even a single receipt can be slightly frustrating at times.  With my Fellowes, the opening was easily accessible, straight up and down at the top.  I found that design to be easier and more user friendly.  The other half star I took off was because there are deals on other shredders that are micro-cut where this one isn't.  This does shred small, so it's not a complete deal breaker.  The bottom line I ask myself is:  Would I buy it again?  And in this case, no, I don't think I would.  It does work well, and it will get the job done, so if it's at a great price compared to others and you don't use it that much, sure go for it.  But the next time I personally shop for one, I will look for one that is easier to feed, that's micro cut, and one that is even quieter if possible.  Best of luck.

  
"
4.0 out of 5 stars,"









  
  
    
  Very happy with my purchase. Great addition for our household and my small biz shredding needs.Pros: It makes quick work of shredding. It's quieter than I anticipated (MUCH quieter than my last one/diff brand). So far, even with shredding tons of stuff, it hasn't hit an overheat phase (giving it a break every couple of minutes). Easily shreds old credit cards. I even threw in a few pieces of junk mail, envelope and all. Great little machine has pulverized everything I've put in it so far. I trust Amazon to stand behind their branded products.Cons: Says it can shred up to 12 pages at once; really slows down when shredding just 7 so I won't tempt anything more at one time. Would prefer a larger bin; knew what I was getting but I'm emptying the bin far more than I anticipated. May be because it cross cuts vs. regular shredder I am used to.Overall - very happy with the product and the price.

  
"
5.0 out of 5 stars,"









  
  
    
  I had several file cabinets worth of shredding to accomplish over a weekend.  I did not want to spend $$$ on a shredder, so I opted for this model.  I was concerned that it would overheat, but it worked like a champ!  I shredded about 10-12 bins worth in one day and it NEVER overheated!  It did jam a few times when I pushed the 12-sheet limit, but I was able to get that resolved.  I do wish the bin was larger, but overall, I am very happy with this shredder and I think it is excellent for the ~$50 price point.

  
"
1.0 out of 5 stars,"









  
  
    
  Fire Danger.  I have found this shredder running and very hot when I have not been in the room  It has started by itself several times.  It gets very very hot when running for an extended period of time and I believe it could catch on fire.  I have unplugged it and use it only as a wast basket now.  This product should not be sold until they figure out what causes it to start running for no reason.  No there was no paper scraps in the blades and I had not used it for days when it started to run by itself.  DANGER.

  
"
4.0 out of 5 stars,"









  
  
    
  I bought this after considering a much more expensive brand. It's a powerful little machine that fully supports my mission to switch my home office to paperless records and it fits under my desk!. This would have been a 5 star review except for the poor design of the bin door. It has a very small plastic gadget that must be in place for the door to properly shut. It took me a while to figure this out as this piece fell into the bin when I closed the door the first time. This caused a red light on the shredder and rendered it inoperable. When I finally realized the problem and found the gadget, I used Superglue to permanently secure it.

  
"
5.0 out of 5 stars,"









  
  
    
  This works great! I don't typically test it with the full 8-sheet capacity, but I regularly put mail through that hasn't been opened yet, such as credit card offers, and it handles them just fine. I finally got rid of the huge stack of mail that had been building up on my counter because I didn't want to throw it away but I had lent my old shredder to a friend and never got it back. So, after some research I finally bit the bullet and bought a new one. I do like the cross-cut as my old one just did the strips. I feel this one is more secure, but it's not like I'm shredding secret government documents or million-dollar bank statements. Still, it would take some serious effort to try to put these bits back together.I did try shredding a credit card and although it slowed a bit, it handled it. You just have to do those one at a time. I also put through stacks of paper and even if some of them got fed in at a bit of an angle, it didn't jam and everything went through fine. Again, it slows a bit, but that's fine as long as it doesn't jam.The first day I got it, I used it for about a half hour and it didn't overheat or shut off. I pretty much filled up it on the first round and it was a trooper. I know you can put bags in it but since I just use it for paper, I simply empty it into my other recycle bag when it's full and ready to go out. That's better anyway since the bags are recyclable and I'm trying to be better about that.This could also be used to make packing paper as the shredded bits would pack nicely around breakable items. Or, you could shred some pretty colored paper to make your own stuffing for presents. Or confetti. The possibilities are endless and I'm sure someone has made a Pinterest board about it.All in all, I'm pretty happy with this and would recommend it. I've had good luck with the Amazon brand.

  
"
1.0 out of 5 stars,"









  
  
    
  This shredder broke down within 8 months of purchase and under infrequent (once per week) use.  The shredder suddenly stopped ingesting the paper no matter the sheet count (one or two sheets, etc.). We never abused this shredder nor feed more than 4 sheets at a time; it should last longer than 8 months under light use!I tried to fix it by taking the engine components, cleaning them, etc. to no avail. I just wasted an hour of my time doing that.While it was operational it worked as expected; but I cannot recommend it due to its poor longevity.

  
"
4.0 out of 5 stars,"









  
  
    
  Have had no issues, shreds fine. As one noted, some things shred where you can read some words....I doubt most are going to go to that much trouble to dig through your garbage to piece it all together [unless you're in some trouble with the law, and in that case-I suggest you burn your documents :P]. Most of it was broken up and made no sense, and being mixed with tons of other broken up/made no sense paper [not to mention, many of them where the words weren't readable]...I'm thinking a criminal wanting to steal your identity is going to want an easier target. For me personally, I'm satisfied.I have also shredded up to 6 sheets with no problems, as well as cards. I like that it is compact, but solid and the blades are thick. The top is heavier than I thought it would be, and the waste basket very light. Controls simple and easy.  Will revise if for any reason product doesn't hold up, has malfunctions or breaks, in reasonable time span of course [nothing lives forever].

  
"
